cod_ibge,total_familias,renda_media_pc,ivs_geral,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_trabalho,score_prioridade,faixa_prioridade,nome_municipio,uf,municipio,n_eventos_aderentes,valor_total_liberado,tem_historico
2102705,273,147.3956043956044,0.687,0.744,0.66,0.656,43.94,MEDIA,Cantanhede,MA,,0,,False
1503754,84,131.57142857142858,0.644,0.735,0.683,0.513,43.87,MEDIA,Jacareacanga,PA,,0,,False
2103158,165,188.3151515151515,0.631,0.755,0.673,0.464,43.79,MEDIA,Centro do Guilherme,MA,,0,,False
2209450,44,173.8409090909091,0.577,0.748,0.438,0.545,43.63,MEDIA,Santo Antônio dos Milagres,PI,,0,,False
2106409,260,35.33076923076923,0.562,0.54,0.594,0.551,43.6,MEDIA,Mata Roma,MA,,0,,False
2105963,153,178.45098039215685,0.693,0.747,0.708,0.623,43.5,MEDIA,Lagoa Grande do Maranhão,MA,,0,,False
1500305,1817,122.70005503577325,0.729,0.719,0.776,0.691,43.27,MEDIA,Afuá,PA,,0,,False
1506401,53,54.283018867924525,0.606,0.623,0.569,0.625,43.23,MEDIA,Santa Cruz do Arari,PA,,0,,False
1505205,1471,84.30408163265307,0.637,0.683,0.585,0.642,43.2,MEDIA,Oeiras do Pará,PA,,0,,False
2112100,1414,119.93564356435644,0.712,0.714,0.776,0.645,43.09,MEDIA,Timbiras,MA,,0,,False
2107456,288,123.89583333333331,0.635,0.716,0.612,0.577,43.07,MEDIA,Olinda Nova do Maranhão,MA,,0,,False
3100500,67,229.3283582089552,0.571,0.743,0.488,0.482,42.63,MEDIA,Açucena,MG,,0,,False
2107209,189,77.0,0.627,0.662,0.651,0.568,42.62,MEDIA,Nina Rodrigues,MA,,0,,False
2101905,302,145.64238410596028,0.664,0.715,0.637,0.641,42.39,MEDIA,Bequimão,MA,,0,,False
1400407,328,86.28658536585365,0.685,0.668,0.668,0.718,42.23,MEDIA,Normandia,RR,,0,,False
2111722,148,178.59459459459458,0.697,0.722,0.785,0.584,42.12,MEDIA,Satubinha,MA,,0,,False
2607802,170,154.6764705882353,0.604,0.713,0.551,0.547,42.07,MEDIA,Itaquitinga,PE,,0,,False
2108801,280,152.8607142857143,0.669,0.712,0.712,0.583,42.06,MEDIA,Pirapemas,MA,,0,,False
1504307,1681,137.62522308149912,0.597,0.705,0.524,0.561,42.05,MEDIA,Maracanã,PA,,0,,False
1502509,108,139.8148148148148,0.717,0.705,0.759,0.688,41.99,MEDIA,Chaves,PA,,0,,False
1504950,1040,55.21442307692308,0.634,0.603,0.736,0.564,41.97,MEDIA,Nova Esperança do Piriá,PA,,0,,False
2102150,130,148.87692307692308,0.688,0.708,0.687,0.668,41.93,MEDIA,Brejo de Areia,MA,,0,,False
2106607,1887,181.2061473237944,0.648,0.717,0.651,0.577,41.8,MEDIA,Matões,MA,,0,,False
2110807,84,267.1904761904762,0.629,0.733,0.637,0.517,41.76,MEDIA,São Félix de Balsas,MA,,0,,False
2100154,194,145.02061855670104,0.687,0.703,0.685,0.673,41.74,MEDIA,Água Doce do Maranhão,MA,,0,,False
2106326,254,168.7244094488189,0.621,0.712,0.644,0.508,41.74,MEDIA,Maracaçumé,MA,,0,,False
1501105,95,62.37894736842105,0.676,0.617,0.74,0.672,41.69,MEDIA,Bagre,PA,,0,,False
2111029,202,110.6039603960396,0.665,0.682,0.691,0.622,41.69,MEDIA,São João do Carú,MA,,0,,False
2112506,3073,119.03058900097624,0.622,0.687,0.621,0.557,41.64,MEDIA,Tutóia,MA,,0,,False
2203255,103,196.0,0.67,0.717,0.735,0.557,41.59,MEDIA,Curralinhos,PI,,0,,False
1600501,628,287.21178343949043,0.56,0.728,0.5,0.452,41.35,MEDIA,Oiapoque,AP,,0,,False
2111631,116,78.23275862068965,0.618,0.64,0.672,0.543,41.3,MEDIA,São Raimundo do Doca Bezerra,MA,,0,,False
1500909,2019,111.48043585933632,0.661,0.671,0.678,0.635,41.05,MEDIA,Augusto Corrêa,PA,,0,,False
1507508,101,282.009900990099,0.65,0.719,0.662,0.568,40.89,MEDIA,São João do Araguaia,PA,,0,,False
3157609,121,127.1818181818182,0.589,0.675,0.553,0.538,40.7,MEDIA,Santa Fé de Minas,MG,,0,,False
2201770,220,36.9,0.543,0.493,0.579,0.557,40.42,MEDIA,Boa Hora,PI,,0,,False
2107100,328,142.1890243902439,0.64,0.675,0.62,0.626,40.28,MEDIA,Morros,MA,,0,,False
2205565,151,234.3046357615894,0.682,0.699,0.701,0.645,40.17,MEDIA,Lagoa do Barro do Piauí,PI,,0,,False
2104602,214,140.6728971962617,0.611,0.672,0.618,0.542,40.15,MEDIA,Governador Eugênio Barros,MA,,0,,False
1503044,101,243.4158415841584,0.639,0.699,0.622,0.596,40.08,MEDIA,Floresta do Araguaia,PA,,0,,False
2110104,1403,105.3136136849608,0.609,0.646,0.627,0.554,39.95,MEDIA,Santa Quitéria do Maranhão,MA,,0,,False
2106706,283,107.8339222614841,0.634,0.644,0.659,0.599,39.72,MEDIA,Mirador,MA,,0,,False
2607000,1260,64.88968253968254,0.656,0.584,0.786,0.597,39.56,MEDIA,Inajá,PE,,0,,False
2110005,3221,193.4610369450481,0.64,0.679,0.669,0.571,39.53,MEDIA,Santa Luzia,MA,,0,,False
2112803,2916,158.5763293310463,0.559,0.668,0.495,0.515,39.52,MEDIA,Viana,MA,,0,,False
1600105,310,48.19677419354839,0.524,0.533,0.54,0.499,39.45,MEDIA,Amapá,AP,,0,,False
1504000,1282,103.84321372854916,0.57,0.634,0.549,0.526,39.36,MEDIA,Limoeiro do Ajuru,PA,,0,,False
1500859,1376,105.49127906976744,0.626,0.635,0.668,0.575,39.34,MEDIA,Anapu,PA,,0,,False
2104909,223,231.94170403587444,0.555,0.683,0.474,0.509,39.31,MEDIA,Guimarães,MA,,0,,False
